VIN,Navigation active,Seat Heating on,Audio muted
5J8TB4H38Fl002262,1,1,0
5J8TB4H38Fl002262,1,0,0
5J8TB4H38Fl002262,1,0,1
5J8TB4H38Fl002262,1,0,0
5J8TB4H38Fl002262,0,1,1
5J8TB4H38Fl002262,0,0,3
5J8TB4H38Fl002262,0,0,4
5J8TB4H38Fl002262,0,1,2
5J8TB4H38Fl002262,1,1,1
5J8TB4H38Fl002262,1,0,0
5J8TB4H38Fl002262,1,0,0
5J8TB4H38Fl002262,0,0,4
5J8TB4H38Fl002262,1,0,2
5J8TB4H38Fl002262,0,1,3
5J8TB4H38Fl002262,1,0,1
5J8TB4H38Fl002262,0,1,0
5J8TB4H38Fl002262,0,0,0
5J8TB4H38Fl002262,0,1,0
5J8TB4H38Fl002262,1,1,0
5J8TB4H38Fl002262,0,1,0
5J8TB4H38Fl002262,1,1,2
5J8TB4H38Fl002262,0,0,2
5J8TB4H38Fl002262,1,0,3
5J8TB4H38Fl002262,1,1,4
5J8TB4H38Fl002262,1,1,1
5J8TB4H38Fl002262,0,1,2
5J8TB4H38Fl002262,1,1,6
5J8TB4H38Fl002262,1,1,1
5J8TB4H38Fl002262,1,0,0
5J8TB4H38Fl002262,1,1,0